iter	MAE
244	196.8775419
245	196.5843941
246	196.2924462
247	196.0320504
248	195.7655729
249	195.370932
250	195.0782107
251	194.8020862
252	194.4462783
253	194.1368226
254	193.8212542
255	193.3760865
256	193.0349866
257	192.7723693
258	192.4050757
259	192.2149626
260	192.1089803
261	191.9149429
262	191.6940159
263	191.4063545
264	190.9575319
265	190.7068948
266	190.2200216
267	189.9679115
268	189.7599532
269	189.3309982
270	188.931678
271	188.663558
272	188.4793521
273	188.0628284
274	187.8544433
275	187.6931705
276	187.3252749
277	186.9820725
278	186.7851264
279	186.5016861
280	186.2653155
281	186.1177634
282	185.8149586
283	185.6056322
284	185.2141936
285	185.0558095
286	184.8240576
287	184.4402556
288	184.0929025
289	183.9697582
290	183.7399666
291	183.5771845
292	183.4055229
293	183.2038953
294	183.0796834
295	182.7976686
296	182.4664033
297	182.0524271
298	181.9259803
299	181.6622068
300	181.4218628
301	181.1520314
302	181.0336327
303	180.7853112
304	180.4560082
305	180.3087583
306	179.9717581
307	179.7023399
308	179.514376
309	179.2495324
310	179.0322734
311	178.8563381
312	178.5457573
313	178.3690673
314	178.1195448
315	177.9737276
316	177.830414
317	177.4200004
318	177.2747534
319	177.0874614
320	176.6819821
321	176.4121433
322	176.1914544
323	175.9282556
324	175.8116843
325	175.656552
326	175.3543052
327	175.1815462
328	175.0268477
329	174.9109356
330	174.7421005
331	174.465997
332	174.2843261
333	174.0244923
334	173.7391081
335	173.544157
336	173.3942045
337	173.2854301
338	173.1800194
339	172.959994
340	172.7506571
341	172.586859
342	172.3831691
343	172.0387644
344	171.9333466
345	171.5521149
346	171.3777148
347	170.9459336
348	170.6776278
349	170.545084
350	170.2332071
351	170.0899713
352	169.984792
353	169.7940876
354	169.5858039
355	169.4361175
356	169.1811826
357	169.0868323
358	168.7403654
359	168.6082404
360	168.3994696
361	168.223734
362	168.0754731
363	167.8231699
364	167.5688273
365	167.3549856
366	167.2421891
367	167.1218969
368	166.9212426
369	166.6575604
370	166.4000221
371	166.2368672
372	166.0983011
373	165.9479335
374	165.8580677
375	165.7430889
376	165.696179
377	165.4606362
378	165.3685945
379	165.1628471
380	165.0245721
381	164.8135863
382	164.7152585
383	164.6152069
384	164.4237005
385	164.2371815
386	164.1734224
387	164.0969264
388	163.9534023
389	163.8321024
390	163.6291164
391	163.4658718
392	163.35213
393	163.215222
394	163.0633492
395	162.9021706
396	162.8226738
397	162.6966645
398	162.6211702
399	162.4591685
400	162.3521804
401	162.1800004
402	162.0801817
403	161.9907345
404	161.8245313
405	161.6698962
406	161.4895638
407	161.3322261
408	161.1994238
409	161.1001348
410	160.9941677
411	160.9013375
412	160.8483654
413	160.6012842
414	160.4202689
415	160.2550857
416	160.0984911
417	160.0357637
418	159.8683344
419	159.7121104
420	159.5728643
421	159.4090202
422	159.2931015
423	159.1600345
424	158.9157876
425	158.7404696
426	158.593797
427	158.5080163
428	158.4170168
429	158.3231708
430	158.2104912
431	158.106085
432	157.9825972
433	157.884451
434	157.8216852
435	157.6770548
436	157.4441856
437	157.3613995
438	157.2300423
439	157.1354517
440	156.9874092
441	156.9219479
442	156.7082658
443	156.5038129
444	156.3963849
445	156.338741
446	156.1803672
447	156.0496805
448	155.9539369
449	155.8221494
450	155.6914856
451	155.6026319
452	155.4881783
453	155.3996416
454	155.1980437
455	155.0721988
456	154.9934671
457	154.8806348
458	154.6931419
459	154.5635232
460	154.4917941
461	154.3958938
462	154.2382819
463	154.1408071
464	154.0449249
465	153.9290035
466	153.7456719
467	153.4947017
468	153.4172308
469	153.3428632
470	153.0879753
471	152.9821079
472	152.9101917
473	152.8489916
474	152.6762322
475	152.5971459
476	152.3365793
477	152.2219215
478	152.17267
479	152.092724
480	151.9630808
481	151.8885287
482	151.8113641
483	151.6698849
484	151.5181792
485	151.3760635
486	151.2415048
487	151.1378004
488	150.9823079
489	150.7871937
490	150.6842074
491	150.6274794
492	150.561453
493	150.3755384
494	150.2901572
495	150.2025368
496	150.071135
497	149.9059659
498	149.8060298
499	149.708398
500	149.5598976
501	149.4910003
502	149.312738
503	149.1992751
504	148.9353242
505	148.8281084
506	148.6313162
507	148.5391486
508	148.3716511
509	148.2242064
510	148.0986123
511	147.9122364
512	147.8370978
513	147.6284352
514	147.5867347
515	147.3876726
516	147.1931835
517	147.0575726
518	146.9554413
519	146.894825
520	146.8237189
521	146.7429852
522	146.6493176
523	146.5186494
524	146.4073561
525	146.348338
526	146.2234226
527	146.0688604
528	145.8523481
529	145.7544749
530	145.6799283
531	145.5872043
532	145.5005155
533	145.3794568
534	145.2308833
535	145.116298
536	145.0370789
537	144.9722119
538	144.9086608
539	144.8188888
540	144.6787782
541	144.5389664
542	144.3993049
543	144.2901714
544	144.1769065
545	144.1196148
546	144.0134288
547	143.9524073
548	143.7938581
549	143.6679408
550	143.5135242
551	143.2656532
552	143.1239254
553	142.9679762
554	142.7374875
555	142.6843011
556	142.598895
557	142.4587859
558	142.3990921
559	142.3021799
560	142.2299319
561	142.113426
562	141.9756807
563	141.9080586
564	141.8423952
565	141.7859213
566	141.7258638
567	141.5692259
568	141.4838553
569	141.3741911
570	141.3281555
571	141.1848555
572	141.1413312
573	141.0848986
574	141.0070459
575	140.9119987
576	140.837663
577	140.730574
578	140.6535527
579	140.5392314
580	140.499111
581	140.4619014
582	140.3746615
583	140.2070978
584	140.1183465
585	140.0526744
586	140.0021865
587	139.9178203
588	139.7947398
589	139.7139719
590	139.5714257
591	139.4463594
592	139.2792639
593	139.206031
594	139.1359309
595	139.0238098
596	138.9218942
597	138.8113414
598	138.6276874
599	138.5614342
600	138.5202384
601	138.3858693
602	138.2969495
603	138.1718193
604	138.0799968
605	137.9441191
606	137.8672288
607	137.8148469
608	137.6706196
609	137.614624
610	137.4525686
611	137.3345361
612	137.225173
613	137.0792231
614	137.0208543
615	136.9505987
616	136.824108
617	136.7547146
618	136.6873992
619	136.626426
620	136.5456134
621	136.4344915
622	136.3362486
623	136.2637374
624	136.1444245
625	136.067049
626	135.9950421
627	135.9468748
628	135.886508
629	135.8403095
630	135.7859251
631	135.7010125
632	135.6233532
633	135.5291671
634	135.4955548
635	135.3977607
636	135.3161458
637	135.26456
638	135.1651197
639	135.0987905
640	135.0508168
641	134.9996202
642	134.903976
643	134.83548
644	134.7323474
645	134.641174
646	134.5591821
647	134.4935773
648	134.4334731
649	134.386821
650	134.3429426
651	134.2659862
652	134.1876216
653	134.0937176
654	134.0276176
655	133.9488651
656	133.8988768
657	133.8431794
658	133.778218
659	133.6667952
660	133.5815884
661	133.4373395
662	133.3702784
663	133.3239572
664	133.2422443
665	133.154624
666	133.048815
667	133.0017719
668	132.9380936
669	132.8096446
670	132.7516992
671	132.6675504
672	132.5860872
673	132.5193855
674	132.4715882
675	132.2338253
676	132.0699721
677	131.947315
678	131.8245417
679	131.7466166
680	131.695536
681	131.6260797
682	131.5862014
683	131.5145459
684	131.4241887
685	131.3747765
686	131.2299431
687	131.1751053
688	131.1325921
689	130.9137
690	130.8062621
691	130.7509461
692	130.6479229
693	130.6029631
694	130.5023932
695	130.4436998
696	130.2660837
697	130.2045858
698	130.184899
699	130.1211854
